歌名,歌手,专辑,时长,爬取时间
后来我选择了自由（那你们怎么联系）-,DJ制权,后来我选择了自由,221秒,2025-04-13 19:07:33
美丽的神话,慕滨阳,美丽的神话,263秒,2025-04-13 19:07:33
Call of Silence,Haru,Attack on Titan OST Relaxing Piano Collection,210秒,2025-04-13 19:07:33
New Rules,Dua Lipa,Dua Lipa (Deluxe) [Explicit],212秒,2025-04-13 19:07:33
A Sky Full Of Stars,Coldplay,Ghost Stories,268秒,2025-04-13 19:07:33
你以前对我最好了,悲伤小熊,幸福的起点是你,153秒,2025-04-13 19:07:33
高级动物,孟维来,高级动物,183秒,2025-04-13 19:07:33
单恋一枝花,张宇,单恋,208秒,2025-04-13 19:07:33
Radioactive,Imagine Dragons,Continued Silence,188秒,2025-04-13 19:07:33
粤语残片,陈奕迅,What's Going On...? (Remastered 2019),272秒,2025-04-13 19:07:33
空有一颗哪吒的心,韩小欠,曾经我野心比天高,210秒,2025-04-13 19:07:33
манго нектар,Corn Wave,old releases (Explicit),190秒,2025-04-13 19:07:33
IN THE RAIN,XG,AWE,188秒,2025-04-13 19:07:33
好望角 (Hakuna Matata ver.),时代少年团,好望角 (Hakuna Matata ver.),200秒,2025-04-13 19:07:33
夜、萤火虫和你,AniFace,夜、萤火虫和你,188秒,2025-04-13 19:07:33
Thank you for dears.,GET IN THE RING (みぃ),AQ,326秒,2025-04-13 19:07:33
愛♡スクリ～ム!,AiScReam,愛♡スクリ～ム!,262秒,2025-04-13 19:07:33
世界只有我们,摩登兄弟刘宇宁,世界只有我们,253秒,2025-04-13 19:07:33
A Way To Die,蒲熠星,A Way To Die,216秒,2025-04-13 19:07:33
大声说拜拜（单恋一枝花）,陈不凡,大声说拜拜（单恋一枝花）,159秒,2025-04-13 19:07:33
好想见到你,袁一琦,一个人生活,309秒,2025-04-13 19:07:33
Lost Control(feat. Bianca),Tyron Hapi,Lost Control (feat. Bianca),269秒,2025-04-13 19:07:33
敬昨天,天津李四,敬昨天,248秒,2025-04-13 19:07:33
野路,许嵩,野路,249秒,2025-04-13 19:07:33
梦时,JuggShots,梦时,152秒,2025-04-13 19:07:33
多情种,徐泽（要不要买菜）,多情种,214秒,2025-04-13 19:07:33
空荡的酒杯 (天籁版),洋澜一,空荡的酒杯（天籁版）,232秒,2025-04-13 19:07:33
作曲家,李荣浩,作曲家,227秒,2025-04-13 19:07:33
我的美丽 (feat.PO8),小霞,我的美丽 (feat.PO8),309秒,2025-04-13 19:07:33
He's a Pirate (加勒比海盗),dylanf,加勒比海盗主题曲,129秒,2025-04-13 19:07:33
有些情绪是该说给懂的人听,佑星Justin,有些情绪是该说给懂的人听,202秒,2025-04-13 19:07:33
锈,江辰,瘾,221秒,2025-04-13 19:07:33
Melodic Minor (PHONK),Pruatay,Love too deep,138秒,2025-04-13 19:07:33
Is to forget（就是忘记）,Pruatay,Is to forget,122秒,2025-04-13 19:07:33
